predicate,TP,FP,FN,TN,size,mse,precision,recall,f1_score,ratio_large_std,span_train,span_test,span_pred,span_mfr,std_train,std_test,std_pred,std_mfr,mean_train,mean_test,mean_pred,mean_mfr,comment,iter,bins,,
on_main_carriage_way,419,1,0,0,420,0.00,1.00,1.00,1.00,0.13,0.85,1.00,0.73,0.24,0.21,0.22,0.21,0.02,0.76,0.75,0.76,0.14,fine,100,3,0.49,0.18
on_shoulder,29,0,0,97,126,0.01,1.00,1.00,1.00,0.53,1.75,1.65,1.75,1.03,0.57,0.56,0.55,0.42,-0.46,-0.45,-0.45,-0.77,fine,100,3,0.72,0.13
in_leftmost_lane,1031,0,1,1028,2060,0.01,1.00,1.00,1.00,0.97,2.00,1.99,2.03,0.52,0.86,0.87,0.85,0.15,0.03,0.03,0.03,0.01,fine,100,3,1.51,0.70
in_rightmost_lane,886,8,0,876,1770,0.01,0.99,1.00,1.00,0.99,2.00,1.99,2.04,0.57,0.86,0.86,0.84,0.15,0.00,0.00,0.01,0.00,fine,100,3,1.47,0.69
main_carriageway_right_lane,886,8,0,876,1770,0.01,0.99,1.00,1.00,0.99,2.00,1.99,2.03,0.57,0.86,0.86,0.84,0.15,0.00,0.00,0.01,0.00,fine,100,3,1.46,0.69
has_slow_moving_velocity,28,0,0,70,98,0.05,1.00,1.00,1.00,0.92,2.00,2.00,2.26,0.50,0.84,0.83,0.82,0.15,-0.46,-0.46,-0.45,-0.17,fine,100,3,1.75,0.68
has_queue_velocity,298,0,2,299,599,0.02,1.00,0.99,1.00,1.00,2.00,2.00,2.53,0.64,0.99,0.99,0.97,0.13,-0.01,0.00,0.01,-0.05,fine,100,3,1.88,0.84
close_to_left_bound,113,0,4,112,229,0.02,1.00,0.97,0.98,0.99,1.45,1.46,1.40,0.09,0.59,0.58,0.56,0.02,-0.17,-0.18,-0.16,-0.02,fine,100,3,1.31,0.54
close_to_right_bound,149,0,4,152,305,0.01,1.00,0.97,0.99,0.86,1.42,1.40,1.38,0.10,0.57,0.58,0.55,0.03,-0.24,-0.23,-0.24,-0.02,fine,100,3,1.28,0.53
lat_left_of,1995,6,0,1983,3984,0.05,1.00,1.00,1.00,1.00,2.00,2.00,2.55,0.92,0.98,0.98,0.91,0.22,0.00,0.00,0.00,0.00,fine,100,3,1.63,0.69
heading_right,1237,12,40,1255,2544,0.19,0.99,0.97,0.98,1.00,2.00,2.00,3.12,0.05,0.84,0.84,0.75,0.00,0.01,0.01,0.02,0.00,fine,100,3,3.08,0.75
lat_left_of_vehicle,1323,1,10,1331,2665,0.04,1.00,0.99,1.00,1.00,2.00,2.00,2.45,0.93,0.99,0.99,0.91,0.22,0.00,0.00,0.01,-0.04,fine,100,3,1.52,0.69
rear_behind_front,1955,8,0,1951,3914,0.03,1.00,1.00,1.00,1.00,2.00,2.00,2.49,2.00,1.00,1.00,0.94,0.66,0.00,0.00,0.00,0.01,fine,100,3,0.49,0.28
slow_leading_vehicle,435,4,2,433,874,0.03,0.99,1.00,0.99,1.00,2.00,2.00,2.66,1.25,0.97,0.97,0.95,0.26,-0.01,-0.02,0.00,-0.08,meta,100,3,1.42,0.68
exist_standing_leading_vehicle,0,0,0,67,67,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.22,0.00,0.00,0.00,-0.42,meta,100,3,-0.86,-0.22
in_congestion,1,0,1,68,70,0.03,1.00,0.50,0.67,0.39,2.00,1.95,1.13,0.39,0.33,0.34,0.18,0.09,-0.93,-0.93,-0.95,-0.24,meta,100,3,0.74,0.08
in_slow_moving_traffic,36,0,0,67,103,0.04,1.00,1.00,1.00,0.80,2.00,2.00,2.26,0.56,0.90,0.90,0.87,0.12,-0.35,-0.34,-0.31,-0.13,meta,100,3,1.70,0.75
in_queue_of_vehicles,258,1,1,256,516,0.02,1.00,1.00,1.00,1.00,2.00,2.00,2.55,0.88,0.97,0.97,0.96,0.09,-0.02,-0.02,-0.01,-0.04,meta,100,3,1.67,0.86
precedes,0,0,221,215,436,0.76,1.00,0.00,0.00,1.00,2.00,1.98,0.00,1.20,0.87,0.87,0.00,0.40,-0.11,-0.11,-0.12,-0.20,meta,100,3,-1.20,-0.40
drives_leftmost,171,7,1,231,410,0.07,0.96,0.99,0.98,1.00,1.93,1.89,2.26,0.10,0.69,0.69,0.65,0.02,0.00,0.00,-0.01,-0.02,meta,100,3,2.17,0.63
drives_rightmost,209,14,0,275,498,0.08,0.94,1.00,0.97,1.00,2.00,2.00,2.75,0.08,0.76,0.75,0.70,0.02,-0.02,0.00,0.00,-0.02,meta,100,3,2.67,0.68
cut_in,0,0,46,82,128,0.57,1.00,0.00,0.00,1.00,1.97,2.00,0.00,0.29,0.73,0.75,0.00,0.07,-0.26,-0.26,-0.26,-0.04,meta,100,3,-0.29,-0.07
left_of,0,0,52,74,126,0.78,1.00,0.00,0.00,1.00,2.00,2.00,0.00,1.05,0.87,0.88,0.00,0.39,-0.24,-0.21,-0.24,-0.32,meta,100,3,-1.05,-0.39
